id,name,username,email,phone,email_verified_at,password,role_id,jwtv,verification_code,deleted_at,created_at,updated_at
994cbef6-0212-4dfe-ab8f-89f6e061a1ee,test user2,test-user2@Hktia,testing2@gmail.com,,,$2y$10$w9iKLjTx9A19OMc2SVY7euJPq3tug3cnCXXocjhdr4LlyHxQeKK1m,13afb267-a38f-4188-96e4-53387d4c8cdc,QfUd8yh59P0V2aI96hGS3AfCj6hmwsgEnTYDTRG4Q986zF14562bgAJOE0yRsDte,,,2023-05-31 23:03:23,2023-05-31 23:03:23
994cbef6-1dee-4b43-8cf1-0e4ad6c3f879,test user3,test-user3@2P0Xh,testing3@gmail.com,,,$2y$10$RTZ9Gd2.mqBchHrdq/JeTOIw1SDpRFJFXHnlrRwd6e7XhpzSdywc2,13afb267-a38f-4188-96e4-53387d4c8cdc,byHT6b09g4DniHpH3uofP5aqEMc9eRjZwBM8glzCxYr4JTPVz3G5mwlkJinOkBSH,,,2023-05-31 23:03:23,2023-05-31 23:03:23
994cbef6-395b-461b-88fd-efcaff3b1f9a,test user4,test-user4@mwuaK,testing4@gmail.com,,,$2y$10$k750l./Yp.XZIu5uGewLeebjQKqGa.wDpqWkgnRe5EhvgaFN7gu3e,1f7bbac4-1685-4c7a-bfb4-70f8118052d8,Rc98DIvc20FZM6SyxSjAtYEaW0hZw4DKxArywHNIXHrR6YP624pdEJgW4OW9dcSh,,,2023-05-31 23:03:23,2023-05-31 23:03:23
994cbef6-5372-4944-821b-be318146e480,test user5,test-user5@FeQS9,testing5@gmail.com,,,$2y$10$lHyp/DWRKQrHw3ARj1gK3uPxJrWVOFcImP9.UHmkKJo402yGI2N0m,1f7bbac4-1685-4c7a-bfb4-70f8118052d8,rpIVVYLqxUlbBctQ1jbbLOJ465P98OdQvGkTgIOn5HQPBY4F0tyPzC2HZuZjTRIk,,,2023-05-31 23:03:23,2023-05-31 23:03:23
994cbef6-6d4c-438b-bf9f-c8fdb8213679,test user6,test-user6@8AqHV,testing6@gmail.com,,,$2y$10$cCk9as8SFkmKld6iMnYnwOCtstfOgngjbXWtlwyogFBJPB612/ZMG,1f7bbac4-1685-4c7a-bfb4-70f8118052d8,YXQrooDL2YhtM8SuPJnALc8eXwnrI3vIhScpBuiuIR0fKBGzhRzvTbdPNd2iGBYG,,,2023-05-31 23:03:23,2023-05-31 23:03:23
994cbef6-88c7-4e02-865b-c24627bc789f,test user7,test-user7@zkWco,testing7@gmail.com,,,$2y$10$Bb3nKPadeJ8hBUU.gOOi8OMGI44s9qSVaJC8zSMpd4WqChEX42xAG,1f7bbac4-1685-4c7a-bfb4-70f8118052d8,UYJlPuS5RNMwE86f58SHf717aWkZMm7A1hVXMi4DknpeI4UdsEpna6IrJM9lkKdU,,,2023-05-31 23:03:23,2023-05-31 23:03:23
994cbef6-a472-4602-9ebe-b5139eeb6094,test user8,test-user8@t8YmM,testing8@gmail.com,,,$2y$10$tvcUx2efUzTFoN8rv7JTLePNVgZjGcyGPZOjR6dse91ZYm2Pb4UJG,1f7bbac4-1685-4c7a-bfb4-70f8118052d8,7yUrmh34Aha9SDj797GowkPWYrLtpeTU9ni47FUieu8LsnnVLcjW6kYdyKeM2BQc,,,2023-05-31 23:03:23,2023-05-31 23:03:23
994cbef6-bff5-479f-a695-0efbe35251c6,test user1,test-user1@exst1,testing11@gmail.com,,2023-05-31 23:03:24,$2y$10$H.QkWlXU5QLW1qi3tye5OuVlxJkP77P2cDQ1IVTU7XIOu6FtUQUey,1f7bbac4-1685-4c7a-bfb4-70f8118052d8,kWOnYJ9My4oQkAaM2wQUc7QvUHpVU0QsayXG11bGa4XlnkcoTOjlj13UiYmN1FTd,,,2023-05-31 23:03:24,2023-05-31 23:03:24
994cbef6-dbfa-4c64-92ac-645e3ba775e1,test user2,test-user2@N4ee6,testing12@gmail.com,,2023-05-31 23:03:24,$2y$10$Z..FS/6GZQivQrwg/4..5uqxcMBzlECWyNs7jDWJz0FzF1pKHAMOq,1f7bbac4-1685-4c7a-bfb4-70f8118052d8,C4gNEuYi61UKum3ksykJZUG7yLD2S0zgIhmnwG2E83N8alXg31LnWu1zODvNOfNm,,,2023-05-31 23:03:24,2023-05-31 23:03:24
994cbef6-f795-4f3c-85b3-21c257867049,test user3,test-user3@6VQ8e,testing13@gmail.com,,2023-05-31 23:03:24,$2y$10$6u.X.zP0MHL54j/k1humSOS9hP9nfC1I8WJYXNwl1P4md0PwJnIX.,1f7bbac4-1685-4c7a-bfb4-70f8118052d8,aFZFxl8EBsH4XZmldR7nhTaMDmUG8urr7G4xvh6Tir4rtBkRSJYYe9U5YD2cnt6W,,,2023-05-31 23:03:24,2023-05-31 23:03:24
994cbef7-1344-463c-a9f2-b10f438fab9a,test user4,test-user4@vFaDZ,testing14@gmail.com,,2023-05-31 23:03:24,$2y$10$1HeNPDgCbD4YWlWCId/AceS/V1eJx36wu/h9bsXyjPOXyidzIavBW,1f7bbac4-1685-4c7a-bfb4-70f8118052d8,CGCAOpJnqGeeVVZsV9n1wMNKo6S8fc3I6Pu9zB5MnYWLf6cqycCgxqH2W16rIhTN,,,2023-05-31 23:03:24,2023-05-31 23:03:24
994cbef7-327c-48a9-be42-6e07b4733815,freelancer101,freelancer101@N6gF5,testing101@gmail.com,,2023-05-31 23:03:24,$2y$10$HMQygWwCkQWLRfGer1T/OOnjQrLi5RtwtHYA15ZUtZm2ze5Hk5zl6,1f7bbac4-1685-4c7a-bfb4-70f8118052d8,QbtW9Qpc3Zc4Na9SQAXzDX8QRv9XI1QIcs18xnjZqVNfEkQwb5kDbpee0vEgyifK,,,2023-05-31 23:03:24,2023-05-31 23:03:24
994cbef7-5488-43f6-b184-f933a6a796f8,freelancer102,freelancer102@xlLUs,testing102@gmail.com,,2023-05-31 23:03:24,$2y$10$Xm7fTwXmAeRRa8zKtOLesuPuXEpbtSfGBGHzWZHmsuzhXwYlKt75W,1f7bbac4-1685-4c7a-bfb4-70f8118052d8,mYCkxzO5G7y4vACrXGfhGEvnDN0pzghRa7c4VvXHcsXaAZ66xGq42mvoddr7FWnW,,,2023-05-31 23:03:24,2023-05-31 23:03:24
